38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi (Umur Harapan Hidup Hasil Long Form SP2020)
,2020
ACEH,73.29
SUMATERA UTARA,73.62
SUMATERA BARAT,74.29
RIAU,73.67
JAMBI,72.29
SUMATERA SELATAN,71.62
BENGKULU,72.93
LAMPUNG,71.04
KEP. BANGKA BELITUNG,72.74
KEP. RIAU,77.69
DKI JAKARTA,81.92
JAWA BARAT,72.61
JAWA TENGAH,71.88
DI YOGYAKARTA,79.95
JAWA TIMUR,73.04
BANTEN,74.41
BALI,76.52
NUSA TENGGARA BARAT,70.46
NUSA TENGGARA TIMUR,66.93
KALIMANTAN BARAT,68.76
KALIMANTAN TENGAH,72.62
KALIMANTAN SELATAN,73.09
KALIMANTAN TIMUR,75.94
KALIMANTAN UTARA,71
SULAWESI UTARA,73.67
SULAWESI TENGAH,70.31
SULAWESI SELATAN,73.08
SULAWESI TENGGARA,71.61
GORONTALO,69.51
SULAWESI BARAT,68.4
MALUKU,71.34
MALUKU UTARA,69.3
PAPUA BARAT,65.94
PAPUA BARAT DAYA,-
PAPUA,61.22
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,72.81
