38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi (Umur Harapan Hidup Hasil Long Form SP2020)
,2025
ACEH,76.23
SUMATERA UTARA,76.47
SUMATERA BARAT,77.27
RIAU,76.31
JAMBI,75.13
SUMATERA SELATAN,74.76
BENGKULU,75.68
LAMPUNG,73.98
KEP. BANGKA BELITUNG,75.26
KEP. RIAU,80.53
DKI JAKARTA,85.05
JAWA BARAT,75.9
JAWA TENGAH,74.77
DI YOGYAKARTA,82.48
JAWA TIMUR,76.13
BANTEN,77.25
BALI,79.37
NUSA TENGGARA BARAT,73.97
NUSA TENGGARA TIMUR,69.89
KALIMANTAN BARAT,72.09
KALIMANTAN TENGAH,74.86
KALIMANTAN SELATAN,76.1
KALIMANTAN TIMUR,79.39
KALIMANTAN UTARA,74.04
SULAWESI UTARA,76.32
SULAWESI TENGAH,72.82
SULAWESI SELATAN,75.92
SULAWESI TENGGARA,74.25
GORONTALO,72.62
SULAWESI BARAT,71.16
MALUKU,74.09
MALUKU UTARA,72.52
PAPUA BARAT,68.48
PAPUA BARAT DAYA,70.55
PAPUA,74.69
PAPUA SELATAN,69.54
PAPUA TENGAH,60.64
PAPUA PEGUNUNGAN,54.91
INDONESIA,75.9
