38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi (Umur Harapan Hidup Hasil Long Form SP2020)
,2024
ACEH,75.36
SUMATERA UTARA,75.76
SUMATERA BARAT,76.43
RIAU,75.67
JAMBI,74.36
SUMATERA SELATAN,73.84
BENGKULU,74.91
LAMPUNG,73.13
KEP. BANGKA BELITUNG,74.55
KEP. RIAU,79.89
DKI JAKARTA,84.15
JAWA BARAT,74.92
JAWA TENGAH,73.87
DI YOGYAKARTA,81.62
JAWA TIMUR,75.35
BANTEN,76.35
BALI,78.63
NUSA TENGGARA BARAT,73.1
NUSA TENGGARA TIMUR,69.14
KALIMANTAN BARAT,71.19
KALIMANTAN TENGAH,74.28
KALIMANTAN SELATAN,75.19
KALIMANTAN TIMUR,78.79
KALIMANTAN UTARA,73.41
SULAWESI UTARA,75.68
SULAWESI TENGAH,72.24
SULAWESI SELATAN,75.18
SULAWESI TENGGARA,73.62
GORONTALO,72.01
SULAWESI BARAT,70.46
MALUKU,73.4
MALUKU UTARA,71.84
PAPUA BARAT,67.69
PAPUA BARAT DAYA,69.65
PAPUA,73.83
PAPUA SELATAN,68.86
PAPUA TENGAH,60.25
PAPUA PEGUNUNGAN,54.43
INDONESIA,75.02
