38 Provinsi,
,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi (Umur Harapan Hidup Hasil Long Form SP2020)
,2021
ACEH,73.48
SUMATERA UTARA,73.84
SUMATERA BARAT,74.56
RIAU,73.89
JAMBI,72.62
SUMATERA SELATAN,71.83
BENGKULU,73.16
LAMPUNG,71.25
KEP. BANGKA BELITUNG,72.96
KEP. RIAU,77.87
DKI JAKARTA,82.25
JAWA BARAT,72.96
JAWA TENGAH,72.17
DI YOGYAKARTA,80.22
JAWA TIMUR,73.48
BANTEN,74.68
BALI,76.69
NUSA TENGGARA BARAT,70.86
NUSA TENGGARA TIMUR,67.02
KALIMANTAN BARAT,68.99
KALIMANTAN TENGAH,72.81
KALIMANTAN SELATAN,73.45
KALIMANTAN TIMUR,76.6
KALIMANTAN UTARA,71.57
SULAWESI UTARA,74.03
SULAWESI TENGAH,70.54
SULAWESI SELATAN,73.38
SULAWESI TENGGARA,71.82
GORONTALO,69.82
SULAWESI BARAT,68.64
MALUKU,71.55
MALUKU UTARA,69.56
PAPUA BARAT,66.11
PAPUA BARAT DAYA,-
PAPUA,61.4
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,73.16
